d,thk,m,rho,o_taper,i_taper,oval,e,mc,mom,stiff,moe,BS,UF,EC
88,6.9,1.61,917.54,5.67,4.84,0.05,0.63,9.85,36.69,23.45,16109.89,110.88,8337.72,-0.691369061
94.25,9.03,1.9,787.29,1.39,1.2,0.01,0.32,9.93,46.07,45.08,20320.27,97.86,9776.18,-0.404796302
97.25,7.15,1.65,815.45,5.4,4.74,0.03,0.6,9.98,38.81,44.37,21470.15,91.31,8085.17,-0.43838282
103,7.86,2.03,865.85,5.07,3.91,0.01,0.57,10.24,57.9,60.13,22463.63,111.38,10975.41,-0.713230995
96.5,6.84,1.36,706.19,4.38,3.83,0.01,0.55,10.58,27.24,29.58,15201.07,67.53,5857.94,-0.051689874
81.75,8.69,1.37,686.98,2.2,0.34,0.04,0.45,10.8,24.97,18.45,13666.39,75.61,6223.23,0.013027435
101,8.87,2.06,801.27,2.63,2.42,0.02,0.44,10.35,50.25,43.04,15658.99,92.32,9570.68,-0.493666933
91.5,8.76,1.67,733.66,4.71,5.33,0.01,0.56,10.44,37.44,26.59,13497.98,86.95,8229.67,-0.169724824
94.75,7.54,1.52,734.17,2.85,1.87,0.02,0.44,10.34,29.84,29.19,14758.21,71.48,6348.72,-0.156207124
86.27,6.62,1.12,672.99,5.15,3.78,0.04,0.61,10.75,18.5,18.53,14005.59,60.33,4328.58,0.051319239
95.39,7.29,1.96,969.3,5,3.77,0,0.56,10.4,43.64,34.25,17371.74,105.56,9138.62,-0.978549321
96.75,8.75,2.09,863.07,3.53,1.66,0.02,0.51,9.92,49,37.75,15961.5,100.23,10103.97,-0.724981671
94.21,8.83,1.71,722.49,1.38,2.86,0.02,0.35,10.39,33.53,29.68,13613.22,72.43,7133.63,-0.130548281
89.16,6.47,1.13,672.29,6.05,5.18,0.05,0.64,10.55,17.97,14.86,10275.2,55.39,3874.05,0.053875384
108.08,8.59,1.91,712.59,2.66,2.13,0.02,0.44,10.47,45.54,48.57,14519.18,73.57,8434.2,-0.101743515
102.2,8.53,2.06,820.88,3.18,2.43,0.02,0.49,10.1,50.03,51.58,18584.91,92.12,10006.94,-0.567366936
92.2,6.76,1.35,742.29,5.42,4.79,0.03,0.63,10.06,31.23,31.54,18929.94,86.39,6697.13,-0.162874564
93.51,7.66,1.55,748.13,1.92,1.03,0.03,0.42,9.95,32.13,32.4,16886.91,78.31,6947.61,-0.206564411
100.61,9.01,2.14,826.34,1.31,0.7,0.02,0.35,10.1,55,61.58,22432.38,100.78,10999.31,-0.610071019
96.05,9.11,1.92,770.96,2.02,0.27,0.07,0.45,10.17,40.63,42.65,17945.43,82.09,8575.31,-0.347070107
84.54,8.25,1.49,751.99,4.31,2.74,0.04,0.58,10.01,29.02,15.42,10592.56,84.26,5804.33,-0.210836141
90.42,6.79,1.56,871.75,7.07,6.06,0.02,0.69,10.39,35.99,30.77,19596.87,103.62,8226.54,-0.562731354
81.99,8.77,1.59,785.94,0.87,1.43,0.04,0.37,10.22,33.19,32.53,23722.63,99.22,8143.84,-0.334587766
87.74,8.06,1.2,594.32,2.77,1.07,0,0.46,10.5,19.89,27.17,16793.49,53.92,4734.95,0.338217138
103.1,8.65,2.01,781.92,4.62,3.77,0.01,0.56,9.98,52.1,52.14,18066.37,93.07,10472.36,-0.407191451
96.83,7.03,2.04,1028.36,4.09,3.32,0.07,0.56,10.42,54.25,50.22,24971.29,130.61,11301.99,-1.163534677
90.94,7.99,1.57,753.88,2.89,1.28,0.01,0.47,10.34,29.64,36.21,20044.66,74.61,6853.82,-0.228437196
90.8,9.37,2.16,902.99,0.82,0.99,0.03,0.34,10.29,54.43,44.43,22071.23,122.75,11832.38,-0.882032318
96.58,7.28,1.31,640.6,4.94,3.8,0.05,0.6,10.85,25.16,30.26,14762.68,59.27,5241.19,0.178130089
92.9,7.34,1.67,847.62,6.02,5.38,0.04,0.63,10.19,37.78,34.56,19005.44,96.52,8304.18,-0.536968327
90.95,6.22,1.39,839.01,4.01,3.39,0.01,0.54,10.01,26.02,23.16,15502.26,79.2,5717.63,-0.426743313
99.54,9.17,2.17,832.69,0.17,1.7,0.01,0.16,9.84,41.26,40.83,15214.73,76.51,8595.2,-0.642654457
81.04,6.96,1.58,974.84,5.85,4.85,0.01,0.65,9.99,26.08,20.22,18038.6,94.3,6520.27,-0.79994678
