d,thk,rho,UF,m,mom,stiff,e,mc
93.93,7.42,646.79,4860,1.3,22.82,21.28,0.56,9.78
74.83,6.05,779.66,4260,1.02,15.94,11.93,0.63,9.8
95.69,11.64,644.38,8230,1.98,39.37,37.46,0.36,9.81
86.44,6.33,887.6,6867.6,1.41,29.7,32.09,0.56,9.44
90.8,9.37,902.99,11832.38,2.16,54.43,44.43,0.34,10.29
100.61,9.01,826.34,10999.31,2.14,55,61.58,0.35,10.1
95.04,8.03,842.47,7848.39,1.85,37.08,41.08,0.5,9.93
92.54,10.96,660.78,7201.7,1.86,32.97,38.6,0.31,10.14
91.44,8.77,645.39,5920,1.47,27.07,23.14,0.48,10.07
94.25,9.03,787.29,9776.18,1.9,46.07,45.08,0.32,9.93
89.89,7.4,978.97,8122.65,1.88,36.55,38.31,0.49,9.68
84.86,8.13,828.55,8061.09,1.62,33.45,32.49,0.24,10.02
101.61,8.16,674.91,6713.96,1.62,34.24,40.8,0.4,9.79
96.5,6.84,706.19,5857.94,1.36,27.24,29.58,0.55,10.58
102.2,8.53,820.88,10006.94,2.06,50.03,51.58,0.49,10.1
93.51,7.66,748.13,6947.61,1.55,32.13,32.4,0.42,9.95
91.73,6.66,917.91,8429.77,1.63,38.78,33.5,0.56,9.9
94.1,7.41,742.01,7301.76,1.5,34.5,29.45,0.52,9.51
81.75,8.69,686.98,6223.23,1.37,24.97,18.45,0.45,10.8
89.86,8.11,801.35,7170,1.67,32.21,31.14,0.37,9.87
96.36,7.53,882.51,7973.1,1.85,38.47,45.23,0.46,9.55
88,6.9,917.54,8337.72,1.61,36.69,23.45,0.63,9.85
87.59,6.85,748.5,5178.39,1.3,22.78,20.82,0.53,9.28
96.58,7.28,640.6,5241.19,1.31,25.16,30.26,0.6,10.85
81.26,7,793.03,5568.55,1.3,22.69,20.57,0.49,9.71
96.75,8.75,863.07,10103.97,2.09,49,37.75,0.51,9.92
78.76,7.81,862.68,9049.65,1.5,35.75,25.42,0.33,9.62
87.74,8.06,594.32,4734.95,1.2,19.89,27.17,0.46,10.5
106.9,8.44,872.57,9993.82,2.28,53.47,60.23,0.61,9.41
95.39,7.29,969.3,9138.62,1.96,43.64,34.25,0.56,10.4
99.54,9.17,832.69,8595.2,2.17,41.26,40.83,0.16,9.84
98.5,10.6,702.37,8950,2.06,44.08,38.23,0.29,10.35
96.79,7.35,624.04,3880.74,1.29,18.82,19.71,0.61,9.28
81.99,7.02,886.74,6579.96,1.47,26.98,25.66,0.48,9.71
95.47,12.25,696.97,10080,2.23,48.11,41.75,0.31,9.21
76.77,10.8,676.65,5620,1.51,21.57,21.73,0.2,9.41
81.04,6.96,974.84,6520.27,1.58,26.08,20.22,0.65,9.99
98.94,7.88,598.65,4040,1.35,19.99,19.9,0.59,10.04
108.08,8.59,712.59,8434.2,1.91,45.54,48.57,0.44,10.47
88.91,12.96,551.44,6932.53,1.71,30.71,35.31,0.22,10.27
96.05,9.11,770.96,8575.31,1.92,40.63,42.65,0.45,10.17
92.9,7.34,847.62,8304.18,1.67,37.78,34.56,0.63,10.19
93.35,8.06,828.44,10411.26,1.79,48.67,42.48,0.22,9.09
85.46,7.86,937.48,6370,1.8,27.22,21.8,0.5,10.15
85.09,7.63,815.73,5220,1.51,22.21,21.23,0.58,9.91
91.22,7.94,916.5,9657.81,1.9,44.18,41.56,0.47,9.75
84.54,8.25,751.99,5804.33,1.49,29.02,15.42,0.58,10.01
89.46,7.09,632.84,4150,1.16,18.56,18.47,0.55,10.41
107.48,10.11,701.75,8498.03,2.17,45.04,57.65,0.2,9.95
105.36,9.98,652.43,7460,1.95,39.3,37.51,0.42,10.07
96.83,7.03,1028.36,11301.99,2.04,54.25,50.22,0.56,10.42
83.15,7.42,971.61,9858.93,1.71,41.16,25.93,0.67,9.58
108.32,9.15,651.8,6790,1.86,36.78,50.22,0.21,10.39
92.68,9.15,805.04,10685.19,1.93,49.69,42.82,0.57,9.29
81.68,7.94,854.32,7345.77,1.57,30.12,23.61,0.57,9.17
86.14,7.22,770.96,6120.78,1.38,26.63,29.55,0.5,9.74
84.13,6.44,953.4,8214.71,1.5,34.71,30.1,0.62,9.83
94.21,8.83,722.49,7133.63,1.71,33.53,29.68,0.35,10.39
79.66,8.62,711.45,5830,1.37,23.22,22.77,0.32,10.3
74.87,6.91,920.35,6750,1.36,25.27,17.39,0.53,10.07
103,9.06,762.83,7514.51,2.04,38.42,41.79,0.33,10.17
92.73,11.1,573.35,5590,1.63,25.92,25.24,0.32,10.2
84.54,6.68,898.41,6694.08,1.47,28.12,22.19,0.33,8.89
90.42,6.79,871.75,8226.54,1.56,35.99,30.77,0.69,10.39
88.69,7.93,583.42,3390,1.17,15.03,18.61,0.53,9.9
86.27,6.62,672.99,4328.58,1.12,18.5,18.53,0.61,10.75
103.43,8.4,595.26,4850,1.49,25.08,28.11,0.51,10.27
88.24,6.55,1073.08,10161.48,1.8,44.96,36.85,0.58,9.71
103.06,8.28,873.41,9969.9,2.15,51.59,63.58,0.34,9.92
83.85,6.98,814.03,6536.21,1.37,27.45,29.14,0.34,9.55
84.65,6.01,838.9,6357.77,1.24,27.02,25.17,0.53,10.51
